deviceId;deviceName;Dictionary;Load;Count;Sort;Seed;Config;Reshape;Build;RandomCount;RandomMatch;RandomSort;RandomSortedMatch;HitRate;TreeMemory;TreeLevels;Depth;TreeMemoryUniqueOnly;ChildrenMemory;ChildrenCountsMemory;ScanMemory;PreScanMemory;PermuationMemory;LengthsMemory;MasksPartsMemory;ContainerSumMemory;ContainerItemsMemory;ContainerStartsMemory;ContainerLengthsMemory;AverageNodeSizesLevels;AverageNodeSize;TreeHeight;NodeSizeToHeightRatio;ItemsPerLevel;MaxItemsPerLevel;Find;Match;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{15, 9, 8};1.69024;15.2698;100000;8.23824;2.92595;8.31693;0.000672623;10670536;{1,631,1559,};3;3748384;1423376;12;12;12;2307384;2307384;2307384;2324972;2307384;8800;8788;3722, 905.8, 1.00321, ;263.28;3;87.7599;{3722, 571560, 1564, };571560;0;16.4222;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{1, 15, 16};1.61328;15.4254;100000;16.9728;3.40778;17.1148;0.000672623;9499384;{1,2,945,};3;2577232;262168;12;12;12;2307384;2307384;2307384;2315028;2307384;3828;3816;0, 8348, 592.751, ;608.487;3;202.829;{0, 16696, 560150, };560150;0;10.6959;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{9, 11, 12};1.73472;15.6876;100000;28.1887;3.07728;28.9652;0.000672623;9698728;{1,52,5078,};3;2776576;428048;12;12;12;2307384;2307384;2307384;2348492;2307384;20560;20548;29, 1924.81, 93.8809, ;112.424;3;37.4746;{29, 100090, 476727, };476727;0;1.55904;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{8, 9, 15};1.65005;15.9088;100000;12.3733;2.93936;12.4219;0.000672623;9325536;{1,41,1320,};3;2403384;85008;12;12;12;2307384;2307384;2307384;2318340;2307384;5484;5472;16, 587.585, 418.742, ;423.529;3;141.176;{16, 24091, 552739, };552739;0;6.21789;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{5, 15, 12};1.71635;16.1651;100000;47.43;2.92774;47.5692;0.000672623;12547408;{1,25,5078,};3;5625256;3276944;12;12;12;2307384;2307384;2307384;2348276;2307384;20452;20440;0, 4004.76, 93.8809, ;113.018;3;37.6728;{0, 100119, 476727, };476727;0;1.65514;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{14, 3, 15};1.59926;15.1993;100000;4.37802;2.80896;4.38576;0.000672623;9322032;{1,407,1320,};3;2399880;78576;12;12;12;2307384;2307384;2307384;2321268;2307384;6948;6936;1952, 54.4349, 418.742, ;333.823;3;111.274;{1952, 22155, 552739, };552739;0;6.04173;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{15, 1, 16};1.67418;15.2579;100000;7.84915;2.90198;7.71664;0.000672623;9378384;{1,631,945,};3;2456232;136136;12;12;12;2307384;2307384;2307384;2320060;2307384;6344;6332;3722, 20.561, 592.751, ;365.787;3;121.929;{3722, 12974, 560150, };560150;0;10.837;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{9, 9, 14};1.59766;15.5645;100000;13.4285;2.89261;13.2314;0.000672623;9354064;{1,52,1931,};3;2431912;108560;12;12;12;2307384;2307384;2307384;2323316;2307384;7972;7960;29, 705.423, 279.718, ;290.749;3;96.9163;{29, 36682, 540135, };540135;0;3.74845;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{9, 8, 15};1.69216;15.478;100000;10.6339;2.96288;10.4886;0.000672623;9295928;{1,52,1320,};3;2373776;55312;12;12;12;2307384;2307384;2307384;2318428;2307384;5528;5516;29, 463.038, 418.742, ;420.135;3;140.045;{29, 24078, 552739, };552739;0;6.19571;
0;GeForceGTX980;.\..\..\data\ip\data-raw-table_tokyo_012016.txt;7.28138;576846;4.15565;123;{15, 5, 12};1.58246;15.8059;100000;7.96352;2.90371;7.77923;0.000672623;9487168;{1,631,5078,};3;2565016;211856;12;12;12;2307384;2307384;2307384;2353124;2307384;22876;22864;3722, 152.769, 93.8809, ;101.024;3;33.6746;{3722, 96397, 476727, };476727;0;1.52861;
